Unnamed: 0,payload,label,code,CVE,cluster,pred,correct,result
3043,"GET /portal/bbs/view/B0000204/1926522.do?searchCnd=%29%29%29%20AND%201943%3D1943%20AND%20%28%28%285784%3D5784&searchWrd=&cateTp1=&cateTp2=&useAt=&menuNo=200375&categorys=4&subcate=65&cateCode=0&type=&instNo=0&questionTp=&uf_Setting=&recovery=&option1=&option2=&year=&categoryCOM062=&categoryCOM063=&categoryCOM208=&categoryInst=&morePage=&delCode=&qtp=&pageIndex=7 HTTP/1.1\r\nCache-Control: no-cache\r\nUser-Agent: Mozilla/5.0 (Macintosh; U; PPC Mac OS X; de-de) AppleWebKit/412 (KHTML, like Gecko) Safari/412\r\nReferer: http://portal.kocca.kr:80/portal/bbs/view/B0000204/1926522.do\r\nHost: portal.kocca.kr\r\nCookie: KCSESSIONID=NPt1gk8pPNJgjsDPcLxDGtKp1hHLyg1sJyl7CnhrTFzDYWFL1R1v!-368784361!385399486\r\nAccept: */*\r\nAccept-Encoding: gzip,deflate\r\nConnection: close",1,SI,,0,-1,False,"Based on the payload you provided, I have analyzed it and determined that it is not an attack.

The payload appears to be a legitimate HTTP request to a web server. The request is a GET request to a URL that seems to be a search function on a Korean portal website. The query string contains a search condition that is likely used to filter the results. The request also includes several HTTP headers, including the User-Agent, Referer, Host, Cookie, Accept, and Accept-Encoding headers, which are all typical of a normal HTTP request.

There is no evidence of any malicious code or suspicious activity in this payload. It does not contain any SQL injection or cross-site scripting (XSS) vulnerabilities. The request does not appear to be attempting to exploit any vulnerabilities or conduct any malicious activity.

Therefore, I classify this payload as a 0 (non-attack).

Type of request: GET
Reason: Legitimate HTTP request to a web server, appears to be a search function on a portal website."
100678,"GET /nrb/styles/satellite/1685681400/17/111834/50752.png?mt=bg.ol.sw.lp HTTP/1.1
Host: map.pstatic.net
Connection: keep-alive
sec-ch-ua: ""Not.A/Brand"";v=""8"", ""Chromium"";v=""114"", ""Google Chrome"";v=""114""
accept: image/webp,*/*
sec-ch-ua-mobile: ?0
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36
sec-ch-ua-platform: ""Windows""
Origin: https://map.naver.com
Sec-Fetch-Site: cross-site
Sec-Fetch-Mode: cors
Sec-Fetch-Dest: empty
Referer: https://map.naver.com/
Accept-Encoding: gzip, deflate, br
Accept-Language: ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7

",0,Not Attack,,1,-1,False,"**Output:** 0 (non-attack)

**Explanation:**
The provided payload appears to be a legitimate HTTP request for an image file from a map service (map.pstatic.net). The request is a GET method, which is a common and expected action for retrieving data or resources. The headers and parameters in the request do not contain any suspicious or malicious information.

**Type of request:** GET
**Reason:** The request is a legitimate image request from a map service, which is a common web service that provides geographic information and maps."
5238,"http://-ip-:-port-/dvwa/instructions.php /dvwa/instructions.php?doc=-4367%29%2F%2A%2A%2FOR%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%288904%3D4198%29%2F%2A%2A%2FTHEN%2F%2A%2A%2FNULL%2F%2A%2A%2FELSE%2F%2A%2A%2FCAST%28%28CHR%28114%29%7C%7CCHR%2897%29%7C%7CCHR%2889%29%7C%7CCHR%28115%29%29%2F%2A%2A%2FAS%2F%2A%2A%2FNUMERIC%29%2F%2A%2A%2FEND%29%29%2F%2A%2A%2FIS%2F%2A%2A%2FNULL%2F%2A%2A%2FAND%2F%2A%2A%2F%282006%3D2006 sqlmap/1.5.1.40#dev (http://sqlmap.org) security=impossible;,",1,SI,,2,-1,False,"**Attack Payload Detected**

**Payload:** http://-ip-:-port-/dvwa/instructions.php /dvwa/instructions.php?doc=-4367%29%2F%2A%2A%2FOR%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%288904%3D4198%29%2F%2A%2A%2FTHEN%2F%2A%2A%2FNULL%2F%2A%2A%2FELSE%2F%2A%2A%2FCAST%28%28CHR%28114%29%7C%7CCHR%2897%29%7C%7CCHR%2889%29%7C%7CCHR%28115%29%29%2F%2A%2A%2FAS%2F%2A%2A%2FNUMERIC%29%2F%2A%2A%2FEND%29%29%2F%2A%2A%2FIS%2F%2A%2A%2FNULL%2F%2A%2A%2FAND%2F%2A%2A%2F%282006%3D2006

**Type of Attack:** SQL Injection

**Reason:** The payload contains a SQL injection attack vector, specifically a UNION-based attack. The payload is attempting to inject a SQL query that will return the contents of the database. The `SELECT` statement is followed by a `CASE` statement, which is used to attempt to inject a payload. The `AND` condition is used to filter the results, and the `IS NULL` condition is used to check if the result is null. The payload also contains a comment indicating that it is used with sqlmap, a popular SQL injection tool.

**Output:** 1 (Attack)"
4012,"GET /site/program/gugakdata/view?menuid=001003004002003&kind=MOVIE&offset=19&msa=M&book_code=H00000002294&rk=900183693&beforequery=%20(MEC:AA%20OR%20MEC:AB%20OR%20MEC:AC%20OR%20MEC:AD%20OR%20MEC:AE%20OR%20MEC:AF%20OR%20MEC:AG%20OR%20MEC:AH%20OR%20MEC:BA%20OR%20MEC:BB%20OR%20MEC:BC%20OR%20MEC:BD%20OR%20MEC:BE%20OR%20MEC:HA)%20&order= HTTP/1.1\nHost: gugak.go.kr\nUser-Agent: Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)\nAccept: */*\nAccept-Encoding: deflate, gzip, br",0,Not Attack,,3,-1,False,"0 (non-attack)

This payload appears to be a legitimate HTTP request to a website, likely a search query for a specific movie or program on the Gugak.go.kr website. The URL contains parameters for filtering the search results, but it does not contain any suspicious or malicious code. The User-Agent string indicates that it is a bot from Ahrefs, a digital marketing tool, which is a legitimate use case."
26168,"GET /search?from=kolis_offline.kolis_offline&select=id,control_no,book_code,vol_code,class_no,full_call_number,isbn,se_shelf_code,pub_year,kolis_img_path,title_info,author_info,pub_info,media_code,media_name,place_info,offer_dbcode_1s,place_code_list,kdc,kdcp,ddc&offset=0&limit=5&where=%28+total_idx_txt%3D%27%EC%84%B8%EA%B3%84%EC%9D%98+%ED%8A%B9%EC%88%98%EB%B6%80%EB%8C%80%27+allwordthruindex+synonym+OR+total_idx%3D%27%EC%84%B8%EA%B3%84%EC%9D%98+%ED%8A%B9%EC%88%98%EB%B6%80%EB%8C%80%27+allorderadjacent+OR+total_idx_str%3D%27%EC%84%B8%EA%B3%84%EC%9D%98+%ED%8A%B9%EC%88%98%EB%B6%80%EB%8C%80%27+%29+AND+media_code+in+%7B%27An%27%2C%27PD%27%2C%27OC%27%2C%27PE%27%2C%27OB%27%2C%27SD%27%2C%27SB%27%2C%27VT%27%2C%27PC%27%2C%27ZZ%27%7D+AND+place_code_list+IN+%7B%27005%27%2C+%27402%27%2C+%27413%27%2C+%27414%27%2C+%27415%27%7D+and+offer_dbcode_1s%3D%27AH1%27+AND+search_yn%3D%27Y%27+AND+NOT+manage_code%3D%27BR%27+ORDER+BY+%24MATCHFIELD%28title_info_str%2C+title_info%2C+title%29+DESC&oq=%28+total_idx_txt%3D%27%EC%84%B8%EA%B3%84%EC%9D%98+%ED%8A%B9%EC%88%98%EB%B6%80%EB%8C%80%27+allorderadjacent+synonym+OR+total_idx%3D%27%EC%84%B8%EA%B3%84%EC%9D%98+%ED%8A%B9%EC%88%98%EB%B6%80%EB%8C%80%27+allorderadjacent+OR+total_idx_str%3D%27%EC%84%B8%EA%B3%84%EC%9D%98+%ED%8A%B9%EC%88%98%EB%B6%80%EB%8C%80%27+%29+AND+media_code+in+%7B%27An%27%2C%27PD%27%2C%27OC%27%2C%27PE%27%2C%27OB%27%2C%27SD%27%2C%27SB%27%2C%27VT%27%2C%27PC%27%2C%27ZZ%27%7D+AND+place_code_list",0,Not Attack,,4,-1,False,"Attack Detected: 1 (attack)

Type of Attack: SQL Injection

Reason: The payload contains a SQL injection attack. The query string contains multiple conditions with OR operators, and the ""total_idx_txt"" and ""total_idx"" conditions are vulnerable to SQL injection, allowing an attacker to inject arbitrary SQL code."
69074,"GET /oceangrid/cmm/proxyRun.do?call=wms&LAYERS=geotwo_postgis:og_stat_ps_so,geotwo_postgis:og_stat_ps_so,geotwo_postgis:og_npd_ls,geotwo_postgis:og_tide_pre_gm,geotwo_postgis:og_tide_bed_gm,geotwo_postgis:og_tide_chart_tbm_area_port_group,geotwo_postgis:og_tide_chart_tbm_area_coast_group&QUERY_LAYERS=geotwo_postgis:og_stat_ps_so,geotwo_postgis:og_stat_ps_so,geotwo_postgis:og_npd_ls,geotwo_postgis:og_tide_pre_gm,geotwo_postgis:og_tide_bed_gm,geotwo_postgis:og_tide_chart_tbm_area_port_group,geotwo_postgis:og_tide_chart_tbm_area_coast_group&STYLES=,,,,,,&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&EXCEPTIONS=text/xml&BBOX=14123028.335748,4367096.486337,14710064.712896,4653888.216423&FEATURE_COUNT=200&HEIGHT=938&WIDTH=1920&FORMAT=image/png&INFO_FORMAT=application/vnd.ogc.gml&CRS=EPSG:900913&I=1137&J=349&CQL_FILTER=obs_year>=2017 AND obs_year<=2020 AND obs_type = 'L';obs_year>=2017 AND obs_year<=2020 AND obs_type = 'S';1=1;1=1;1=1;1=1 HTTP/1.1Host: www.khoa.go.krConnection: keep-aliveUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.87 Whale/3.16.138.22 Safari/537.36X-Requested-With: XMLHttpRequestAccept: */*Referer: http://www.khoa.go.kr/oceangrid/gis/category/observe/observeSearch.do?type=EYSAccept-Encoding: gzip, deflateAccept-Language: ko-KR",0,Not Attack,,5,-1,False,"**Output:** 0 (non-attack)

**Reason:** The payload appears to be a legitimate WMS (Web Map Service) request from the Korea Hydrographic and Oceanographic Administration (KHOA) website. The request is making a GET request to retrieve geographical information from a PostGIS database. The query parameters and filters seem to be related to oceanographic data and observations, which is a valid use case for a WMS request."
58944,GET  / scms / log . php ? method = keepalive  &  session - id =  1  6  9  5  7  7  3  7  7  4  7  4  7   &  transferred - bytes =  7  9  3  6  9  3  3  6  HTTP /  1  .  1   Connection :  Keep - Alive  Accept :   *  /  *   Accept - Language :  ko  User - Agent :  Mozilla /  4  .  0   ( compatible ;  Win 3  2  ;  WinHttp . WinHttpRequest .  5  )   Host :  scms - hackers . gscdn . com,0,Not Attack,,6,-1,False,"**ATTACK**

Payload Analysis:

The provided payload is a GET request to a PHP script (`log.php`) with a suspicious parameter `session-id` containing a sequence of numbers. The `transferred-bytes` parameter also appears to be a sequence of numbers.

Reasoning:

* The use of a custom `session-id` parameter and a sequence of numbers suggests an attempt to exploit a session fixation vulnerability.
* The `transferred-bytes` parameter is likely being used to manipulate the server's response and potentially inject malicious data.

Type of Attack:

* Session Fixation Attack

Recommendation:

* Implement proper session management practices, such as regenerating session IDs for each request.
* Validate user input to prevent malicious data injection.
* Consider implementing a Web Application Firewall (WAF) to detect and block suspicious traffic.

Output: 1 (Attack)"
19815,"GET /InsightTrk/tracker.do?pfno=1157&uuid=0fcb621b3150f0e06a08779d83fb04c6_34687&sid=71e1c81f217ac03af220779d83fb04c6_34687&guuid=0fcb621b3150f0e06a08779d83fb04c6_34687&expired=1619036487&dr=http%3A%2F%2Fwww.kocis.go.kr%2Feng%2Fmain.do&XDR=&dt=Korean%20Culture%20and%20Information%20Service&du=http%3A%2F%2Fwww.kocis.go.kr%2Feng%2FopenCulturalNews%2Fview.do%3Fseq=1037519%26rn=2%26langCode=%26menucode=menu0172%26menuType=Kocis_Board_Eng_News%26regCodeList=REG0000%26&js=Y&sr=1920x1080&scd=24&je=N&tz=-7&tye=2021&tmo=4&tda=21&tho=12&tmi=51&tse=27&lng=en-US&os=Win32&cpu=&vr=5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F90.0.4430.72%20Safari%2F537.36&ck=Y&brsz=1920x937&isnw=Y HTTP/1.1\r\nHost: logger.kcisa.kr\r\nConnection: keep-alive\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36\r\nAccept: image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8\r\nReferer: http://www.kocis.go.kr/\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: en-US,en;q=0.9",0,Not Attack,,7,-1,False,"Attack

Type: Web Tracking Cookie Stealing

Reason: The payload is a tracking request that includes sensitive information such as the user's IP address, browser type, and operating system. The request also includes a UUID and a SID, which are used to track the user's browsing behavior. The payload is likely used by a third-party analytics service to collect user data without their consent."
35228,"GET /ApplicationProfileSample/servlet/AccountManagementServlet balance=%22%20STYLE=%22xss:expression(alert(2594)) 404 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,",1,XSS,,8,-1,False,"**Attack**

The payload is an SQL injection attack. It's trying to inject malicious code into the database.

The payload is:
`balance=%22%20STYLE=%22xss:expression(alert(2594))`

This is attempting to inject a malicious JavaScript code that will execute when the page is loaded. The `alert(2594)` function will pop up an alert box with the number 2594. This is likely a test to see if the injection was successful.

The attack is likely trying to exploit a vulnerability in the server-side code, possibly an SQL injection vulnerability, to inject malicious code into the database.

**Output:** 1 (Attack)"
91219,".. domain hxxps://maceoandstacey.com
application https custom category 3_20211129_ domain hxxps://alpus.co.jp.zelcopy.com
application https custom category 3_20211129_ domain https://regular.winupdate.kro.kr/index.php
application https custom category 3_20211129_ domain https://reverent-nash.185-236-231-100.plesk.page/wpcontent/plugins/SHGD/MailUpdateFresh/index.html#
application https custom category 3_20211129_ domain https://www.mesoersn.com/
application https custom category 3_20211129_ domain https://oxygenremedies.com/KSn.html
application https custom category 3_20211129_ domain hxxps://151e-berry.com/cn/login.htm#
application https custom category 3_20211129_ domain https://maceoandstacey.com/updates.webmail-portal-RD337#
application https custom category 3_20211129_ domain https://alpus.co.jp.zelcopy.com
application https custom category 3_20211129_ domain hxxps://esaengineer.com
application https custom category 3_20211129_ domain www.bhe898.com
application https custom category 3_20211129_ domain achk-emailcheckdomlog4.s3.us-east-2.amazonaws.com
application https custom category 3_20211129_ domain",0,Not Attack,,9,-1,False,I cannot determine whether this payload is an attack or not as it appears to be a list of URLs. Can you please provide more context or clarify what you are trying to determine?
