text,label
two investment banks settle sec washington reuters deutsche bank securities inc thomas weisel partners agreed pay combined million settle charges involving conflicts interest research investment banking u s regulators said thursday,business
yukos chief plans return to russia the american chief executive yukos embattled oil producer whose top executives left russia week ago feared government prosecution said yesterday quot fully intends,business
oil prices soar supply shortage fears oil prices soared new highs sides atlantic today traders fretted increasingly short supplies the cost crude new york broke,business
report lehman near deal enron lawsuits reuters reuters lehman brothers holdings inc close settling class action lawsuit million stemming allegations colluded other brokerages mislead enron corp shareholders the wall street journal reported Thursday,business
dow jones agrees buy marketwatch million deal dow jones company publisher the wall street journal agreed buy marketwatch parent company financial news web site cbs marketwatch approximately million companies said today,business
sears sales slightly october apparel still slumping hoffman estates ill hoffman estates based sears roebuck company reported slight increase october same store sales today despite continuing weak results apparel,business
weighing outsourcing s impact key factors help determine outsourcing benefits hurts americans,business
adb president tadao chino resigns the president manila based asian development bank tuesday announced resignation multilateral bank effective next year,business
fran mires talks rayhein ala fein egypt s popular reality show diff authors bit skeptical ten years al hurra achieved great deal mena region grand part due presence fran mires program developer television executive network,entertainment
lee create new film superhero comic book veteran stan lee team producer robert evans create movie featuring new superhero foreverman focus character face problems everyday life well using special powers save world paramount pictures studio behind film revealed details project say potential spawn series films lee best known work spider man the incredible hulk he collaborating script screenwriter peter briggs penned recent comic book adaptation hellboy we believe truly whole new franchise said gill champion president chief executive lee s pow entertainment in world people looking something different stan s idea create concept seen become evergreen franchise paramount many lee s creations including x men daredevil turned films past five years however spider man series biggest box office hit original sequel taking almost bn worldwide third spider man film scheduled release another marvel comics adaptation the fantastic four released cinemas summer,entertainment
harry potter ip claim pinned beaches tour company shows warner brothers churchill spirit,entertainment
rogue one dominates the holiday box office authors the star wars film took million christmas eve projected finish holiday monday total million domestically,entertainment
